Date,Close
2021-09-30,612.5999755859375
2021-10-01,615.0
2021-10-04,589.7000122070312
2021-10-05,567.5
2021-10-06,575.0
2021-10-07,581.7999877929688
2021-10-08,568.0
2021-10-11,555.0
2021-10-12,550.0
2021-10-13,549.5
2021-10-14,570.0
2021-10-15,594.5
2021-10-18,591.5
2021-10-19,592.0
2021-10-20,560.0
2021-10-21,540.0
2021-10-22,525.0
2021-10-25,525.5
2021-10-26,570.0
2021-10-27,546.0
2021-10-28,547.0
2021-10-29,558.5
2021-11-01,561.0
2021-11-02,555.0
2021-11-03,539.0
2021-11-04,533.5
2021-11-05,535.0
2021-11-08,545.5
2021-11-09,587.5
2021-11-10,591.0
2021-11-11,591.5
2021-11-12,604.0
2021-11-15,610.0
2021-11-16,606.5
2021-11-17,616.0
2021-11-18,639.0
2021-11-19,692.0
2021-11-22,685.0
2021-11-23,659.0
2021-11-24,646.0
2021-11-25,650.0
2021-11-26,645.0
2021-11-29,682.0
2021-11-30,690.0
2021-12-01,709.0
2021-12-02,688.0
2021-12-03,670.0
2021-12-06,646.0
2021-12-07,660.0
2021-12-08,650.0
2021-12-09,669.0
2021-12-10,676.0
2021-12-13,714.0
2021-12-14,681.0
2021-12-15,691.0
2021-12-16,711.0
2021-12-17,665.0
2021-12-20,664.0
2021-12-21,670.0
2021-12-22,689.0
2021-12-23,692.0
2021-12-24,710.0
2021-12-29,716.0
2021-12-30,706.0
2021-12-31,698.0
2022-01-04,671.0
2022-01-05,633.0
2022-01-06,605.0
2022-01-07,605.0
2022-01-10,565.0
2022-01-11,531.0
2022-01-12,554.0
2022-01-13,551.0
2022-01-14,539.0
2022-01-17,548.0
2022-01-18,516.0
2022-01-19,522.0
2022-01-20,546.0
2022-01-21,541.0
2022-01-24,480.0
2022-01-25,475.0
2022-01-26,501.0
2022-01-27,476.0
2022-01-28,452.0
2022-01-31,485.0
2022-02-01,495.0
2022-02-02,510.0
2022-02-03,497.5
2022-02-04,502.0
2022-02-07,527.0
2022-02-08,514.0
2022-02-09,542.0
2022-02-10,559.0
2022-02-11,530.0
2022-02-14,530.0
2022-02-15,540.0
2022-02-16,555.0
2022-02-17,555.0
2022-02-18,503.0
2022-02-21,522.0
2022-02-22,515.0
2022-02-23,526.0
2022-02-24,470.5
2022-02-25,472.0
2022-02-28,459.5
2022-03-01,439.0
2022-03-02,439.0
2022-03-03,420.5
2022-03-04,391.5
2022-03-07,384.0
2022-03-08,369.0
2022-03-09,398.5
2022-03-10,391.5
2022-03-11,396.5
2022-03-14,413.5
2022-03-15,389.0
2022-03-16,437.5
2022-03-17,440.0
2022-03-18,440.5
2022-03-21,442.0
2022-03-22,424.5
2022-03-23,416.0
2022-03-24,423.0
2022-03-25,405.0
2022-03-28,392.0
2022-03-29,407.0
2022-03-30,414.0
2022-03-31,398.0
2022-04-01,394.0
2022-04-04,380.0
2022-04-05,397.0
2022-04-06,378.0
2022-04-07,383.5
2022-04-08,370.0
2022-04-11,353.0
2022-04-12,355.0
2022-04-13,355.5
2022-04-14,354.0
2022-04-19,343.5
2022-04-20,344.0
2022-04-21,356.0
2022-04-22,349.0
2022-04-25,319.0
2022-04-26,313.5
2022-04-27,318.0
2022-04-28,320.0
2022-04-29,306.5
2022-05-03,294.0
2022-05-04,280.0
2022-05-05,285.5
2022-05-06,271.0
2022-05-09,257.5
2022-05-10,255.0
2022-05-11,262.0
2022-05-12,254.5
2022-05-13,284.5
2022-05-16,289.5
2022-05-17,294.0
2022-05-18,280.0
2022-05-19,295.0
2022-05-20,322.5
2022-05-23,312.0
2022-05-24,317.0
2022-05-25,307.5
2022-05-26,319.5
2022-05-27,327.0
2022-05-30,338.5
2022-05-31,322.0
2022-06-01,307.5
2022-06-06,334.5
2022-06-07,340.0
2022-06-08,363.0
2022-06-09,356.5
2022-06-10,331.5
2022-06-13,320.0
2022-06-14,318.0
2022-06-15,336.0
2022-06-16,318.0
2022-06-17,325.0
2022-06-20,323.5
2022-06-21,330.0
2022-06-22,317.5
2022-06-23,309.5
2022-06-24,322.5
2022-06-27,318.5
2022-06-28,304.5
2022-06-29,293.5
2022-06-30,276.5
2022-07-01,266.0
2022-07-04,266.5
2022-07-05,275.0
2022-07-06,310.0
2022-07-07,319.0
2022-07-08,321.0
2022-07-11,311.5
2022-07-12,294.5
2022-07-13,291.5
2022-07-14,268.5
2022-07-15,284.0
2022-07-18,287.0
2022-07-19,286.5
2022-07-20,300.0
2022-07-21,312.5
2022-07-22,304.0
2022-07-25,291.5
2022-07-26,285.5
2022-07-27,287.5
2022-07-28,306.5
2022-07-29,318.5
2022-08-01,324.0
2022-08-02,319.5
2022-08-03,330.5
2022-08-04,310.5
2022-08-05,308.5
2022-08-08,312.5
2022-08-09,304.5
2022-08-10,315.0
2022-08-11,334.5
2022-08-12,315.0
2022-08-15,319.0
2022-08-16,312.0
2022-08-17,308.0
2022-08-18,311.0
2022-08-19,312.0
2022-08-22,293.5
2022-08-23,278.0
2022-08-24,282.0
2022-08-25,286.0
2022-08-26,277.0
2022-08-30,284.5
2022-08-31,274.0
2022-09-01,285.5
2022-09-02,299.0
2022-09-05,293.5
2022-09-06,300.5
2022-09-07,292.0
2022-09-08,286.0
2022-09-09,287.0
2022-09-12,272.0
2022-09-13,283.5
2022-09-14,294.5
2022-09-15,296.5
2022-09-16,289.0
2022-09-20,283.0
2022-09-21,284.0
2022-09-22,264.5
2022-09-23,246.0
2022-09-26,240.0
2022-09-27,237.5
2022-09-28,241.5
2022-09-29,241.0
2022-09-30,256.5
2022-10-03,256.5
2022-10-04,273.5
2022-10-05,260.0
2022-10-06,269.5
2022-10-07,270.5
2022-10-10,251.5
2022-10-11,250.0
2022-10-12,251.0
2022-10-13,246.0
2022-10-14,256.0
2022-10-17,267.0
2022-10-18,273.5
2022-10-19,247.0
2022-10-20,252.0
2022-10-21,250.0
2022-10-24,249.0
2022-10-25,263.0
2022-10-26,279.5
2022-10-27,276.0
2022-10-28,270.5
2022-10-31,262.5
2022-11-01,282.5
2022-11-02,288.5
2022-11-03,280.0
2022-11-04,287.0
2022-11-07,283.0
2022-11-08,282.5
2022-11-09,279.5
2022-11-10,297.0
2022-11-11,290.0
2022-11-14,278.0
2022-11-15,279.0
2022-11-16,272.0
2022-11-17,248.5
2022-11-18,257.5
2022-11-21,264.5
2022-11-22,258.0
2022-11-23,259.0
2022-11-24,262.0
2022-11-25,258.0
2022-11-28,256.5
2022-11-29,253.0
2022-11-30,256.0
2022-12-01,261.0
2022-12-02,274.5
2022-12-05,271.5
2022-12-06,252.0
2022-12-07,249.0
2022-12-08,241.0
2022-12-09,239.0
2022-12-12,240.5
2022-12-13,245.0
2022-12-14,243.5
2022-12-15,244.5
2022-12-16,232.5
2022-12-19,241.5
2022-12-20,246.0
2022-12-21,251.5
2022-12-22,256.0
2022-12-23,247.0
2022-12-28,240.5
2022-12-29,248.5
2022-12-30,246.5
2023-01-03,256.0
2023-01-04,254.0
2023-01-05,263.0
2023-01-06,259.5
2023-01-09,275.5
2023-01-10,275.0
2023-01-11,274.0
2023-01-12,280.0
2023-01-13,289.0
2023-01-16,291.5
2023-01-17,269.0
2023-01-18,269.0
2023-01-19,253.0
2023-01-20,249.0
2023-01-23,251.0
2023-01-24,252.0
2023-01-25,238.5
2023-01-26,238.0
2023-01-27,245.0
2023-01-30,242.0
2023-01-31,236.5
2023-02-01,238.0
2023-02-02,255.0
2023-02-03,259.0
2023-02-06,249.5
2023-02-07,238.5
2023-02-08,239.0
2023-02-09,228.5
2023-02-10,224.5
2023-02-13,224.5
2023-02-14,224.5
2023-02-15,227.0
2023-02-16,233.0
2023-02-17,230.0
2023-02-20,228.5
2023-02-21,222.0
2023-02-22,216.0
2023-02-23,218.5
2023-02-24,214.0
2023-02-27,212.5
2023-02-28,209.0
2023-03-01,209.5
2023-03-02,207.5
2023-03-03,211.5
2023-03-06,212.5
2023-03-07,208.5
2023-03-08,203.5
2023-03-09,205.5
2023-03-10,198.6000061035156
2023-03-13,194.0
2023-03-14,201.0
2023-03-15,190.3999938964844
2023-03-16,197.0
2023-03-17,188.0
2023-03-20,176.60000610351562
2023-03-21,201.0
2023-03-22,197.8000030517578
2023-03-23,201.0
2023-03-24,201.0
2023-03-27,197.3999938964844
2023-03-28,189.8000030517578
2023-03-29,198.0
2023-03-30,212.5
2023-03-31,222.5
2023-04-03,214.1999969482422
2023-04-04,208.6000061035156
2023-04-05,208.3999938964844
2023-04-06,216.3999938964844
2023-04-11,219.3999938964844
2023-04-12,212.6000061035156
2023-04-13,218.8000030517578
2023-04-14,237.0
2023-04-17,228.8000030517578
2023-04-18,221.3999938964844
2023-04-19,216.0
2023-04-20,215.6000061035156
2023-04-21,216.8000030517578
2023-04-24,220.1999969482422
2023-04-25,218.3999938964844
2023-04-26,222.0
2023-04-27,233.1999969482422
2023-04-28,229.8000030517578
2023-05-02,231.6000061035156
2023-05-03,227.8000030517578
2023-05-04,227.6000061035156
2023-05-05,230.6000061035156
2023-05-09,234.8000030517578
2023-05-10,239.0
2023-05-11,249.3999938964844
2023-05-12,244.3999938964844
2023-05-15,241.1999969482422
2023-05-16,240.0
2023-05-17,240.0
2023-05-18,237.3999938964844
2023-05-19,247.6000061035156
2023-05-22,249.0
2023-05-23,249.3999938964844
2023-05-24,249.3999938964844
2023-05-25,252.8000030517578
2023-05-26,262.3999938964844
